driverId,days_since_last_trip,completed_deliveries_last_30_days,avg_rating_last_30_days,total_earnings_last_30_days,wallet_balance,tenure_in_days,churn
1,2,19,4.95,11229.81,431.56,161,0
2,9,14,4.64,6282.55,131.81,1167,0
3,14,13,4.76,7986.73,1386.16,992,0
4,1,19,4.79,10238.36,1744.21,675,1
5,0,21,4.98,8680.04,294.46,666,0
6,5,14,4.89,6542.49,581.78,1292,0
7,14,17,4.79,8877.65,100.58,156,1
8,8,16,4.74,9513.86,743.74,1055,1
9,11,14,4.79,7823.85,684.74,326,0
10,4,23,4.87,10778.04,1962.74,168,0
11,2,17,4.69,9566.57,1927.35,803,0
12,6,20,4.83,9904.82,954.37,1464,0
13,2,27,4.9,12652.45,2843.76,1111,1
14,12,11,4.66,6822.01,1289.27,1148,1
15,2,26,4.9,14193.27,24.38,1084,0
16,3,26,4.86,14571.05,2816.73,1185,0
17,5,18,4.93,8156.84,1403.4,784,0
18,5,18,4.8,8914.25,2283.94,218,1
19,6,12,4.83,7253.83,953.72,1264,1
20,4,12,4.86,6270.9,1628.72,692,1
21,25,15,4.43,7737.96,0.0,765,1
22,18,11,4.68,4647.27,367.57,575,1
23,20,6,4.69,3813.03,0.0,298,1
24,7,19,4.65,8688.64,720.03,1392,1
25,7,19,4.86,10693.99,1278.33,1178,0
26,6,20,4.83,9028.46,959.4,976,0
27,4,18,4.85,9190.3,1668.74,621,1
28,3,18,4.9,11399.39,3474.12,1239,0
29,6,16,4.79,8688.51,665.43,831,0
30,0,16,4.88,7965.46,1692.61,681,0
31,0,17,4.94,10133.1,1679.33,692,1
32,18,9,4.7,4586.33,731.78,364,1
33,0,18,4.75,8065.6,1445.86,165,1
34,5,22,4.83,10637.52,844.12,845,0
35,7,22,4.81,13179.5,2546.6,1335,0
36,2,23,4.92,13774.44,0.0,123,0
37,22,8,4.64,3889.66,494.94,1291,1
38,2,28,4.79,13940.31,1171.18,1246,0
39,20,10,4.61,6137.66,1918.88,436,1
40,14,20,4.84,13981.61,233.9,958,0
41,2,20,4.88,10567.47,1530.81,272,0
42,1,22,4.97,13640.27,2803.45,1144,1
43,3,25,4.96,13423.18,852.78,1059,0
44,4,20,4.79,11876.55,1303.71,551,1
45,2,16,4.8,9707.02,654.63,129,0
46,34,0,4.64,160.94,83.9,1456,1
47,2,25,4.9,12996.93,3180.78,685,0
48,17,12,4.61,6329.08,0.0,1342,1
49,1,12,4.9,6763.0,891.19,1026,0
50,32,0,4.52,514.34,70.27,1174,1
51,2,20,4.78,12572.54,2297.15,1147,0
52,4,31,4.76,18637.2,1405.13,316,1
53,6,28,4.85,13628.7,0.0,564,0
54,1,17,5.0,8153.71,800.62,716,0
55,16,16,4.7,7813.36,148.32,761,1
56,3,18,4.87,9915.97,1844.53,94,0
57,6,13,4.78,7710.27,1514.16,833,1
58,6,15,4.84,7610.34,103.71,256,0
59,6,17,4.78,8848.18,1366.8,1122,0
60,0,17,4.86,9930.53,541.7,1034,1
61,1,23,5.0,11409.71,977.97,1386,0
62,1,24,4.88,12088.79,3187.2,1124,1
63,3,22,4.74,13284.58,1034.91,568,0
64,1,27,4.91,13857.37,3088.83,1452,0
65,25,5,4.71,2355.7,654.7,633,1
66,5,23,4.88,12038.63,984.26,508,1
67,7,17,4.8,9423.97,1234.84,1361,0
68,4,24,4.78,16790.18,1117.19,574,0
69,3,15,4.79,9825.37,1055.59,142,0
70,5,17,4.82,13119.07,2109.48,720,1
71,3,17,4.82,7523.19,756.37,1199,0
72,3,13,4.81,8294.15,1170.68,308,0
73,5,20,4.92,12873.99,637.36,710,0
74,5,17,4.89,8893.49,328.52,220,0
75,33,0,4.35,0.0,27.42,1039,1
76,2,26,4.8,15176.97,1815.75,729,0
77,5,22,4.77,10939.4,2331.76,515,1
78,1,17,4.88,7595.54,732.49,363,0
79,3,23,4.88,9589.68,1367.08,859,0
80,12,14,4.77,5639.81,251.43,1014,0
81,1,25,4.89,13299.67,2324.62,1412,0
82,6,18,4.93,10403.53,838.51,672,0
83,4,22,4.82,9852.03,881.23,266,1
84,0,22,4.94,12071.13,1357.05,1254,0
85,26,7,4.66,4318.73,290.07,955,1
86,4,20,4.85,11133.96,249.46,1059,0
87,15,19,4.78,10892.73,1569.07,172,0
88,4,21,4.79,11539.98,2091.32,489,0
89,27,8,4.54,5406.3,26.52,1158,1
90,3,21,4.88,12059.74,1532.77,1253,0
91,4,23,4.73,9735.98,1219.03,669,0
92,14,18,4.78,11950.11,920.18,1213,0
93,3,15,4.77,7085.77,545.04,1267,0
94,4,22,4.95,11183.41,2158.89,599,0
95,34,0,4.75,223.12,117.92,1350,1
96,6,16,4.92,9006.1,1978.29,453,1
97,10,16,4.77,7508.91,1131.8,382,1
98,8,12,4.78,6783.59,1385.01,1033,1
99,17,10,4.77,5996.18,926.8,966,0
100,19,9,4.71,5184.1,289.14,235,0
101,6,20,4.82,9744.02,1339.13,1254,0
102,3,25,4.82,10539.96,23.51,323,1
103,0,18,4.85,8091.07,425.61,1213,0
104,6,27,4.99,12661.9,2305.12,40,1
105,17,15,4.59,9397.57,875.76,1201,1
106,5,22,4.75,9566.62,426.9,1186,1
107,1,25,4.95,13240.49,797.67,1177,0
108,3,27,4.93,16589.7,122.2,1007,1
109,5,13,4.77,7301.06,1008.47,723,0
110,17,7,4.59,4981.42,390.13,1066,1
111,1,26,4.96,12516.57,1111.62,437,0
112,6,14,4.75,8240.03,1191.52,1177,0
113,13,13,4.72,8321.78,1125.66,846,0
114,27,9,4.62,5475.12,88.77,704,1
115,1,21,4.79,12579.74,217.77,773,0
116,25,6,4.69,3032.11,346.83,866,1
117,6,12,4.82,7014.18,1134.52,84,1
118,14,11,4.68,5941.54,318.3,235,1
119,0,25,4.82,12432.15,815.64,390,0
120,5,20,4.92,9936.56,1166.14,198,0
121,7,14,4.79,8310.04,986.69,676,1
122,3,21,4.89,9161.34,950.15,1012,0
123,4,14,4.84,6647.77,1001.52,992,1
124,6,29,4.7,17309.75,593.6,722,0
125,6,17,4.87,10312.36,2361.85,1286,1
126,0,19,4.96,10542.9,858.69,860,1
127,5,20,4.96,9563.54,2318.94,146,0
128,2,24,4.73,10250.85,0.0,1154,0
129,24,3,4.42,2085.54,39.27,874,1
130,32,0,4.76,549.86,189.37,963,1
131,3,21,4.81,10947.94,2053.37,861,0
132,1,19,4.77,9714.35,1246.59,843,0
133,2,27,4.87,14647.54,1461.36,163,1
134,5,16,4.8,9381.78,1239.19,852,0
135,19,14,4.6,6142.69,657.67,1198,1
136,5,20,4.82,9640.52,2548.8,476,1
137,0,18,4.92,10350.28,682.69,916,0
